"L=longest; SK=most skillful; Obs=observed, in KAF for water year (WY) streamflow"			
WY	COLeesL	COLeesSK	COLeesObs
1116	21022.672		
1117	21474.603		
1118	18001.101		
1119	16284.796		
1120	16213.636		
1121	11185.892		
1122	14695.041		
1123	11993.574		
1124	13017.274		
1125	11728.211		
1126	11012.213		
1127	13323.752		
1128	18145.501		
1129	17427.498		
1130	12833.129		
1131	10376.08		
1132	11177.781		
1133	12369.511		
1134	11730.944		
1135	12269.932		
1136	13141.912		
1137	16710.526		
1138	16041.857		
1139	14924.128		
1140	11431.017		
1141	17210.808		
1142	17193.172		
1143	14289.254		
1144	15402.149		
1145	16097.432		
1146	10224.116		
1147	11038.167		
1148	9982.4675		
1149	11607.475		
1150	8945.4448		
1151	9272.9635		
1152	11173.145		
1153	11886.405		
1154	10127.567		
1155	13230.584		
1156	13039.302		
1157	12488.518		
1158	10555.733		
1159	15834.375		
1160	15919.15		
1161	10441.01		
1162	12991.876		
1163	18599.208		
1164	14768.962		
1165	15406.289		
1166	9188.4271		
1167	11713.939		
1168	12121.683		
1169	10880.409		
1170	12283.391		
1171	14167.704		
1172	15768.797		
1173	14809.542		
1174	12111.47		
1175	10968.527		
1176	13133.028		
1177	11102.656		
1178	13211.398		
1179	12924.345		
1180	17324.263		
1181	18160.558		
1182	14215.353		
1183	13751.579		
1184	18922.544		
1185	17188.673		
1186	13048.834		
1187	16808.305		
1188	17611.29		
1189	14569.972		
1190	18083.249		
1191	17494.473		
1192	19814.919		
1193	19018.386		
1194	16867.99		
1195	18573.596		
1196	17310.24		
1197	18384.681		
1198	14334.462		
1199	13328.829		
1200	15243.879		
1201	15590.078		
1202	12223.373		
1203	16242.473		
1204	14876.936		
1205	13636.709		
1206	13153.676		
1207	12514.379		
1208	15670.324		
1209	18770.697		
1210	15533.338		
1211	17522.062		
1212	13461.801		
1213	12729.8		
1214	14415.778		
1215	13211.122		
1216	10753.484		
1217	10139.846		
1218	11900.097		
1219	17601.69		
1220	17810.913		
1221	16275.494		
1222	16740.742		
1223	15253.432		
1224	13202.741		
1225	12226.469		
1226	17230.587		
1227	10663.625		
1228	17042.344		
1229	16684.393		
1230	13920.901		
1231	16347.166		
1232	16299.828		
1233	12081.893		
1234	11394.617		
1235	13244.882		
1236	11132.874		
1237	12549.187		
1238	15651.99		
1239	14773.039		
1240	12687.635		
1241	17292.238		
1242	16337.164		
1243	13345.82		
1244	13653.959		
1245	11129.451		
1246	12011.48		
1247	11313.083		
1248	16000.729		
1249	16015.362		
1250	12134.656		
1251	9466.7997		
1252	13031.607		
1253	13535.294		
1254	11268.129		
1255	15870.02		
1256	17136.01		
1257	17366.946		
1258	9076.5423		
1259	18634.539		
1260	18665.363		
1261	17655.978		
1262	12629.073		
1263	13675.17		
1264	12376.9		
1265	16094.371		
1266	13933.86		
1267	16252.081		
1268	17425.955		
1269	19041.601		
1270	11524.052		
1271	16812.938		
1272	16679.444		
1273	11518.034		
1274	9530.8834		
1275	18342.415		
1276	13110.125		
1277	13994.961		
1278	10924.931		
