label,"Total Population"
2021,7276316
2020,7421401
2019,7291843
2018,7164228
2017,7048088
2016,6944767
2015,6832810
2014,6732873
2013,6634690
2012,6556344
2011,6473416
2010,6407342
2009,6343154
2008,6280362
2007,6167681
2006,6029141
2005,5839077
2004,5652404
2003,5510364
2002,5396255
2001,5273477
2000,5160586
1999,4778332
1998,4667277
1997,4552207
1996,4432308
1995,4306908
1994,4147561
1993,3993390
1992,3867333
1991,3762394
1990,3679056
1989,3622185
1988,3535183
1987,3437103
1986,3308262
1985,3183538
1984,3067135
1983,2968925
1982,2889861
1981,2810107
1980,2718215
1979,2635571
1978,2515316
1977,2425197
1976,2346157
1975,2284847
1974,2223196
1973,2124438
1972,2008291
1971,1895814
1970,1775399
1969,1737000
1968,1682000
1967,1646000
1966,1614000
1965,1584000
1964,1556000
1963,1521000
1962,1471000
1961,1407000
1960,1321000
1959,1261000
1958,1193000
1957,1125000
1956,1053000
1955,987000
1954,933000
1953,894000
1952,842000
1951,785000
1950,756000
1949,714000
1948,690000
1947,653000
1946,616000
1945,594000
1944,610000
1943,692000
1942,524000
1941,490000
1940,499000
1939,484000
1938,466000
1937,453000
1936,443000
1935,434000
1934,428000
1933,426000
1932,426000
1931,429000
1930,434000
1929,430000
1928,422000
1927,414000
1926,403000
1925,393000
1924,382000
1923,371000
1922,360000
1921,351000
1920,340000
1919,329000
1918,320000
1917,311000
1916,282000
1915,263000
1914,253000
1913,236000
1912,217000
1911,212000
1910,206000
1909,196000
1908,186000
1907,176000
1906,167000
1905,158000
1904,151000
1903,144000
1902,138000
1901,131000
1900,124000
