label,Total Population
2021,39237836
2020,39368078
2019,39437610
2018,39437463
2017,39337785
2016,39149186
2015,38904296
2014,38586706
2013,38253768
2012,37944551
2011,37636311
2010,37319550
2009,36961229
2008,36604337
2007,36250311
2006,36021202
2005,35827943
2004,35574576
2003,35253159
2002,34871843
2001,34479458
2000,33987977
1999,33145121
1998,32682794
1997,32217708
1996,31780829
1995,31493525
1994,31317179
1993,31147208
1992,30875920
1991,30414114
1990,29950111
1989,29218164
1988,28464249
1987,27777158
1986,27102237
1985,26441109
1984,25844393
1983,25360026
1982,24820009
1981,24285933
1980,23667902
1979,23256880
1978,22835958
1977,22352396
1976,21935909
1975,21537849
1974,21173865
1973,20868728
1972,20585469
1971,20345939
1970,19971069
1969,19711000
1968,19394000
1967,19176000
1966,18858000
1965,18585000
1964,18151000
1963,17668000
1962,17072000
1961,16497000
1960,15870000
1959,15467000
1958,14880000
1957,14264000
1956,13713000
1955,13133000
1954,12746000
1953,12251000
1952,11635000
1951,11134000
1950,10677000
1949,10337000
1948,10064000
1947,9832000
1946,9559000
1945,9344000
1944,8945000
1943,8506000
1942,7735000
1941,7237000
1940,6950000
1939,6785000
1938,6656000
1937,6528000
1936,6341000
1935,6175000
1934,6060000
1933,5963000
1932,5894000
1931,5824000
1930,5711000
1929,5531000
1928,5344000
1927,5147000
1926,4929000
1925,4730000
1924,4541000
1923,4270000
1922,3991000
1921,3795000
1920,3554000
1919,3339000
1918,3262000
1917,3171000
1916,3071000
1915,3008000
1914,2934000
1913,2811000
1912,2668000
1911,2534000
1910,2406000
1909,2282000
1908,2161000
1907,2054000
1906,1976000
1905,1893000
1904,1792000
1903,1702000
1902,1623000
1901,1550000
1900,1490000
