label,"Total Population"
2021,5812069
2020,5807719
2019,5758486
2018,5697155
2017,5617421
2016,5543844
2015,5454328
2014,5352637
2013,5270774
2012,5193660
2011,5121900
2010,5047539
2009,4972195
2008,4889730
2007,4803868
2006,4720423
2005,4631888
2004,4575013
2003,4528732
2002,4490406
2001,4425687
2000,4326921
1999,4056133
1998,3968967
1997,3891293
1996,3812716
1995,3738061
1994,3653910
1993,3560884
1992,3459995
1991,3367567
1990,3303862
1989,3275818
1988,3262281
1987,3260480
1986,3237450
1985,3208723
1984,3169992
1983,3133630
1982,3061564
1981,2977898
1980,2889964
1979,2849234
1978,2766748
1977,2696140
1976,2632306
1975,2586192
1974,2541406
1973,2495868
1972,2404619
1971,2303524
1970,2209596
1969,2166000
1968,2120000
1967,2053000
1966,2007000
1965,1985000
1964,1970000
1963,1936000
1962,1899000
1961,1844000
1960,1769000
1959,1710000
1958,1667000
1957,1664000
1956,1625000
1955,1546000
1954,1493000
1953,1431000
1952,1365000
1951,1326000
1950,1325000
1949,1295000
1948,1263000
1947,1237000
1946,1203000
1945,1116000
1944,1137000
1943,1153000
1942,1113000
1941,1124000
1940,1130000
1939,1120000
1938,1112000
1937,1104000
1936,1090000
1935,1078000
1934,1075000
1933,1071000
1932,1066000
1931,1056000
1930,1040000
1929,1008000
1928,1014000
1927,1028000
1926,1016000
1925,1019000
1924,1014000
1923,984000
1922,965000
1921,961000
1920,937000
1919,938000
1918,906000
1917,910000
1916,892000
1915,868000
1914,846000
1913,835000
1912,832000
1911,821000
1910,804000
1909,775000
1908,757000
1907,733000
1906,707000
1905,680000
1904,659000
1903,652000
1902,621000
1901,581000
1900,543000
