0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
13.6,0,0,0,0,0,0,7.2,79.2,13,0,0,0
75.5,1,2.5,0,0,0,0,7.2,14.8,9.3,0,0,0
21.3,2,69.6,18.3,0,0,0,7.2,2,0,0,0,0
15.9,3,76.9,34.4,0.3,0,0,7.2,0,0,0,0,0
44.5,4,47.8,0.7,0,0,0,7.2,0.5,0,0,0,0
4.8,5,86.8,30,0,0,0,7.2,1.2,0,0,0,0
58.4,6,0,0,0,0,0,7.2,34.3,11.6,4.2,1.6,0
80.2,7,12.6,0.2,0,0,0,7.2,0,0,0,0,0
63.3,8,29.4,0.6,0,0,0,7.2,0,0,0,0,0
85.6,9,3.3,0,0,0,0,7.2,3.9,1.2,0,0,0
84.8,10,0,0,0,0,0,7.2,7.9,3.8,2.2,0,0
64.8,11,0,0,0,0,0,7.2,28,3.5,1.9,0,0
16.7,12,64.9,16.2,0.6,0,0,7.2,11.2,3.1,0,0,0
20,13,69.6,40.4,0.7,0,0,7.2,3.1,0,0,0,0
7.9,14,69.3,41.4,4.3,0,0,7.2,15.6,13.1,11.6,8.9,4.6
10.3,15,82.1,76.4,69.2,43.3,9.6,7.2,0.4,0,0,0,0
13.5,16,77.6,61.5,15.5,0.7,0,7.2,1.6,0,0,0,0
11.2,17,81.5,45.4,1.8,0,0,7.2,0,0,0,0,0
49.3,18,43.5,0,0,0,0,7.2,0,0,0,0,0
79.6,19,7.2,0,0,0,0,7.2,6,1.7,0,0,0
42.2,20,46.4,0,0,0,0,7.2,4.2,2.4,1.5,0,0
74.8,21,0,0,0,0,0,7.2,18,2.4,0.2,0,0
8.2,22,83.9,11.9,0,0,0,7.2,0.7,0,0,0,0
52.9,23,0,0,0,0,0,7.2,39.9,24.8,14.6,3.8,0
21.5,24,68.2,48.1,7.4,0.3,0,7.2,3,2.1,0.7,0,0
31.9,25,56.8,15,0,0,0,7.2,4,1,0,0,0
30.9,26,49.9,25.6,0.5,0,0,7.2,11.9,6.7,4.9,4,3.7
16.8,27,72.3,15.4,0,0,0,7.2,3.6,2.7,2.1,0.3,0
76.7,28,2.6,0,0,0,0,7.2,13.4,0.2,0,0,0
14.5,29,76.1,6.9,0,0,0,7.2,2.1,0.2,0,0,0
57.6,30,31.3,13.1,0,0,0,7.2,3.9,0.5,0,0,0
31.1,31,20,17.9,13.9,11.2,5.4,7.2,41.8,8.7,0,0,0
9.6,32,2.4,0.4,0,0,0,7.2,80.8,78.7,75.6,72.4,59
6.9,33,14.5,13.1,9.7,3.1,0,7.2,71.4,64.7,45.7,17.4,1
6.6,34,0.4,0,0,0,0,7.2,85.8,80.7,77.3,76,70.1
1.2,35,0,0,0,0,0,7.2,91.6,83.5,73.6,29.2,5.1
0,36,0,0,0,0,0,7.2,92.7,35.7,4.2,0.9,0
48.7,37,44.1,11.8,1.3,0,0,7.2,0,0,0,0,0
70,38,18.4,0,0,0,0,7.2,4.3,2.3,0,0,0
76.8,39,12.1,0,0,0,0,7.2,3.9,0.3,0,0,0
83.7,40,9,0,0,0,0,7.2,0.1,0,0,0,0
36.3,41,0,0,0,0,0,7.2,56.5,11.3,0.3,0,0
64.8,42,28,0,0,0,0,7.2,0,0,0,0,0
58.2,43,32.1,5.3,0.9,0,0,7.2,2.4,0,0,0,0
14.1,44,78.6,24.6,0.1,0,0,7.2,0,0,0,0,0
88.3,45,0.3,0,0,0,0,7.2,4.1,1,0,0,0
83,46,7.3,0,0,0,0,7.2,2.4,0,0,0,0
70.2,47,6.5,0,0,0,0,7.2,16,11.6,1.2,0,0
16.3,48,76,55.9,9.6,0,0,7.2,0.4,0,0,0,0
1.8,49,91,75.7,21.2,10,0,7.2,0,0,0,0,0
21.4,50,0,0,0,0,0,7.2,71.4,37.3,7.1,0,0
62.3,51,0,0,0,0,0,7.2,30.4,12.2,0.2,0,0
53.8,52,17.6,0.3,0,0,0,7.2,21.4,19.2,17.3,14.8,14.4
1.6,53,91.3,85.1,76.9,58.7,35.2,7.2,0,0,0,0,0
13.7,54,79.1,14.7,0,0,0,7.2,0,0,0,0,0
36.2,55,40.5,0,0,0,0,7.2,16,12.3,8.9,0.4,0
9,56,74.9,64,26.1,1.6,0,7.2,8.9,2,0,0,0
3.4,57,88.7,85.5,47.8,0.7,0,7.2,0.7,0,0,0,0
72.3,58,14.8,0,0,0,0,7.2,5.6,0,0,0,0
81.7,59,0,0,0,0,0,7.2,11.1,0,0,0,0
55.8,60,15.9,10.4,0,0,0,7.2,21.1,0.5,0,0,0
7.3,61,13.3,9.3,0,0,0,7.2,72.1,60.4,21.4,0.6,0
8.2,62,7.8,0.4,0,0,0,7.2,76.9,70.7,59.4,25,2.8
0,63,0,0,0,0,0,7.2,92.8,92.4,89,73,37.9
65,64,8.5,0,0,0,0,7.2,19.3,14.5,10.1,0.8,0
0.4,65,92.4,87,45.1,15.3,2,7.2,0,0,0,0,0
65.7,66,27.1,19.1,13.9,6.6,0,7.2,0,0,0,0,0
10.1,67,6.2,0,0,0,0,7.2,76.5,71.5,53.4,31.5,6.3
0,68,0,0,0,0,0,7.2,92.8,90.9,79.2,47.8,29.4
15.9,69,76.1,53.7,29.5,3.4,0.2,7.2,0.8,0,0,0,0
10.6,70,81.8,16.7,0,0,0,7.2,0.3,0,0,0,0
53.2,71,39,0,0,0,0,7.2,0.5,0,0,0,0
92.8,72,0,0,0,0,0,7.2,0,0,0,0,0
80.4,73,12.4,1.5,0,0,0,7.2,0,0,0,0,0
74.6,74,0,0,0,0,0,7.2,18.2,0.4,0,0,0
35.3,75,55.3,0,0,0,0,7.2,2.2,0,0,0,0
73.7,76,10.4,0,0,0,0,7.2,8.7,0,0,0,0
59.8,77,23.6,18.9,17.2,13.5,12.7,7.2,9.3,0.7,0,0,0
4.4,78,11.2,8.9,2,0,0,7.2,77.2,74.9,70.9,69.9,63
0.4,79,0,0,0,0,0,7.2,92.4,90.8,89.4,87.3,84.4
68.2,80,2.6,0,0,0,0,7.2,21.9,0,0,0,0
37.5,81,12.3,0,0,0,0,7.2,42.9,0.9,0,0,0
14.3,82,14.8,11.2,0,0,0,7.2,63.7,16.7,0,0,0
15.1,83,0.4,0,0,0,0,7.2,77.4,70.3,53.5,24.9,4.3
6.6,84,0.2,0,0,0,0,7.2,86,61.5,4.1,0,0
91.9,85,0.9,0,0,0,0,7.2,0,0,0,0,0
66.7,86,26,0,0,0,0,7.2,0,0,0,0,0
59.2,87,15.7,4.6,0,0,0,7.2,17.8,1.2,0,0,0
13.7,88,10.4,0,0,0,0,7.2,68.7,27.8,0,0,0
12.6,89,9.3,0,0,0,0,7.2,70.9,47.9,5.5,0,0
12.5,90,0,0,0,0,0,7.2,80.3,64.4,21.3,0.3,0
74.1,91,3.3,0,0,0,0,7.2,15.3,0,0,0,0
79,92,0,0,0,0,0,7.2,13.8,0,0,0,0
50.3,93,42.5,0,0,0,0,7.2,0,0,0,0,0
86.2,94,1,0,0,0,0,7.2,5.6,2.8,0,0,0
69.5,95,23.2,14.5,1.2,0,0,7.2,0,0,0,0,0
11.1,96,7.3,0.4,0,0,0,7.2,74.3,53.3,12.2,0,0
10.8,97,3.5,0,0,0,0,7.2,78.5,70.8,37.3,2,0
12.2,98,8.1,0.4,0,0,0,7.2,72.5,61.6,23.3,0.3,0
0,99,0,0,0,0,0,7.2,92.9,91.1,81,47.4,21
10.5,100,82.3,44.4,13.2,0.5,0,7.2,0,0,0,0,0
72.8,101,9.2,0,0,0,0,7.2,10.8,7.7,3.5,0,0
11.9,102,80.9,69,36.3,5.6,0,7.2,0,0,0,0,0
7,103,85.8,9.2,0,0,0,7.2,0,0,0,0,0
36.9,104,47.4,0,0,0,0,7.2,8.5,4.7,0.4,0,0
3.2,105,89.5,73.8,27.2,0,0,7.2,0,0,0,0,0
28.4,106,61.3,1.2,0,0,0,7.2,3.1,0,0,0,0
29.4,107,63.4,30.4,0.7,0,0,7.2,0,0,0,0,0
20.9,108,60.3,1.2,0,0,0,7.2,11.5,8.8,7.3,6.2,3.5
1.2,109,91.5,89.9,84.9,68,41.7,7.2,0,0,0,0,0
34.6,110,54.6,8.8,0,0,0,7.2,3.6,0.9,0,0,0
38.3,111,52.8,4.4,0,0,0,7.2,1.6,0,0,0,0
3.8,112,89,22.8,0.3,0,0,7.2,0,0,0,0,0
79.7,113,0.2,0,0,0,0,7.2,12.8,0,0,0,0
92,114,0.7,0,0,0,0,7.2,0,0,0,0,0
63.3,115,0,0,0,0,0,7.2,29.4,10.6,2.3,0,0
4.2,116,88.5,46.1,2.1,0,0,7.2,0,0,0,0,0
79.4,117,13.3,4.1,0.1,0,0,7.2,0,0,0,0,0
78.6,118,14.2,0,0,0,0,7.2,0,0,0,0,0
