label,"Total Population"
2021,3143991
2020,3138259
2019,3090771
2018,3030725
2017,2972097
2016,2919555
2015,2868531
2014,2818935
2013,2776956
2012,2744670
2011,2713114
2010,2702483
2009,2684665
2008,2653630
2007,2601072
2006,2522658
2005,2432143
2004,2346222
2003,2248850
2002,2173791
2001,2098399
2000,2018741
1999,1809253
1998,1743772
1997,1675581
1996,1596476
1995,1525777
1994,1456388
1993,1380197
1992,1330694
1991,1285046
1990,1218629
1989,1137382
1988,1075022
1987,1023376
1986,980613
1985,951030
1984,924922
1983,901977
1982,881537
1981,847655
1980,800493
1979,765367
1978,719436
1977,678333
1976,646975
1975,619972
1974,596822
1973,568991
1972,546789
1971,520018
1970,488738
1969,480000
1968,464000
1967,449000
1966,446000
1965,444000
1964,426000
1963,397000
1962,352000
1961,315000
1960,291000
1959,279000
1958,269000
1957,260000
1956,250000
1955,237000
1954,213000
1953,195000
1952,181000
1951,168000
1950,162000
1949,157000
1948,156000
1947,149000
1946,143000
1945,149000
1944,153000
1943,151000
1942,137000
1941,120000
1940,113000
1939,107000
1938,105000
1937,103000
1936,101000
1935,100000
1934,98000
1933,96000
1932,96000
1931,94000
1930,92000
1929,90000
1928,89000
1927,88000
1926,87000
1925,85000
1924,84000
1923,82000
1922,81000
1921,80000
1920,78000
1919,77000
1918,77000
1917,81000
1916,82000
1915,82000
1914,83000
1913,82000
1912,81000
1911,81000
1910,82000
1909,78000
1908,73000
1907,68000
1906,64000
1905,59000
1904,56000
1903,52000
1902,49000
1901,45000
1900,43000
