label,"Total Population"
2021,2115877
2020,2106319
2019,2099634
2018,2093754
2017,2092844
2016,2092555
2015,2090071
2014,2090236
2013,2092833
2012,2087715
2011,2080707
2010,2064614
2009,2036802
2008,2010662
2007,1990070
2006,1962137
2005,1932274
2004,1903808
2003,1877574
2002,1855309
2001,1831690
2000,1821204
1999,1739844
1998,1733535
1997,1722939
1996,1706151
1995,1682417
1994,1653329
1993,1614937
1992,1580750
1991,1547115
1990,1519933
1989,1503901
1988,1490337
1987,1478520
1986,1462729
1985,1438361
1984,1416717
1983,1394361
1982,1363823
1981,1332748
1980,1302894
1979,1284722
1978,1238034
1977,1215720
1976,1189295
1975,1159944
1974,1131309
1973,1105529
1972,1078697
1971,1053737
1970,1017055
1969,1011000
1968,994000
1967,1000000
1966,1007000
1965,1012000
1964,1006000
1963,989000
1962,979000
1961,965000
1960,954000
1959,919000
1958,886000
1957,847000
1956,806000
1955,785000
1954,763000
1953,756000
1952,735000
1951,717000
1950,689000
1949,644000
1948,604000
1947,582000
1946,561000
1945,537000
1944,527000
1943,534000
1942,502000
1941,506000
1940,531000
1939,523000
1938,513000
1937,503000
1936,489000
1935,475000
1934,461000
1933,449000
1932,441000
1931,436000
1930,427000
1929,420000
1928,416000
1927,410000
1926,403000
1925,396000
1924,390000
1923,382000
1922,375000
1921,370000
1920,363000
1919,362000
1918,382000
1917,361000
1916,354000
1915,351000
1914,348000
1913,344000
1912,338000
1911,334000
1910,329000
1909,314000
1908,298000
1907,283000
1906,269000
1905,255000
1904,242000
1903,229000
1902,218000
1901,206000
1900,196000
