label,"Total Population"
2021,3337975
2020,3249879
2019,3203383
2018,3155153
2017,3103540
2016,3044241
2015,2983626
2014,2938327
2013,2898773
2012,2854146
2011,2814797
2010,2775413
2009,2723421
2008,2663029
2007,2597746
2006,2525507
2005,2457719
2004,2401580
2003,2360137
2002,2324815
2001,2283715
2000,2244502
1999,2129836
1998,2100562
1997,2065397
1996,2022253
1995,1976774
1994,1930436
1993,1875993
1992,1821498
1991,1771941
1990,1729722
1989,1705864
1988,1689372
1987,1678119
1986,1662834
1985,1642910
1984,1622342
1983,1594943
1982,1558314
1981,1515471
1980,1461037
1979,1420238
1978,1367510
1977,1319512
1976,1274928
1975,1236030
1974,1200471
1973,1170040
1972,1135449
1971,1101192
1970,1059273
1969,1047000
1968,1029000
1967,1019000
1966,1009000
1965,994000
1964,978000
1963,974000
1962,958000
1961,936000
1960,900000
1959,870000
1958,845000
1957,826000
1956,809000
1955,783000
1954,750000
1953,739000
1952,724000
1951,706000
1950,696000
1949,671000
1948,653000
1947,636000
1946,638000
1945,591000
1944,605000
1943,631000
1942,575000
1941,551000
1940,552000
1939,543000
1938,535000
1937,529000
1936,527000
1935,526000
1934,522000
1933,520000
1932,517000
1931,513000
1930,509000
1929,508000
1928,504000
1927,500000
1926,494000
1925,487000
1924,481000
1923,474000
1922,467000
1921,457000
1920,453000
1919,446000
1918,437000
1917,444000
1916,436000
1915,430000
1914,422000
1913,410000
1912,399000
1911,387000
1910,377000
1909,363000
1908,351000
1907,339000
1906,327000
1905,316000
1904,308000
1903,299000
1902,292000
1901,284000
1900,277000
