label,"Total Population"
2021,578803
2020,582328
2019,580116
2018,579054
2017,579994
2016,585243
2015,586389
2014,583159
2013,582620
2012,576656
2011,567491
2010,564531
2009,559851
2008,546043
2007,534876
2006,522667
2005,514157
2004,509106
2003,503453
2002,500017
2001,494657
2000,494300
1999,479602
1998,480045
1997,480031
1996,480085
1995,478447
1994,474982
1993,469033
1992,463491
1991,457739
1990,453401
1989,458374
1988,465101
1987,476965
1986,495633
1985,499695
1984,504896
1983,510345
1982,506400
1981,491712
1980,469557
1979,454378
1978,432880
1977,413354
1976,396952
1975,381695
1974,365501
1973,354061
1972,347345
1971,340285
1970,332416
1969,329000
1968,324000
1967,322000
1966,323000
1965,332000
1964,339000
1963,336000
1962,333000
1961,337000
1960,331000
1959,320000
1958,315000
1957,314000
1956,312000
1955,307000
1954,293000
1953,290000
1952,293000
1951,291000
1950,290000
1949,277000
1948,269000
1947,258000
1946,254000
1945,239000
1944,242000
1943,247000
1942,251000
1941,247000
1940,250000
1939,248000
1938,246000
1937,243000
1936,240000
1935,237000
1934,233000
1933,230000
1932,230000
1931,229000
1930,226000
1929,223000
1928,220000
1927,219000
1926,217000
1925,216000
1924,215000
1923,211000
1922,208000
1921,203000
1920,197000
1919,191000
1918,181000
1917,186000
1916,174000
1915,167000
1914,163000
1913,157000
1912,153000
1911,150000
1910,147000
1909,141000
1908,133000
1907,125000
1906,118000
1905,114000
1904,111000
1903,108000
1902,105000
1901,100000
1900,93000
