YEAR,AVG_ELEVATION,AVG_CONTENT,AVG_INFLOW,AVG_OUTFLOW,AVG_HIGH_TEMP,AVG LOW TEMP,AVG_WATER_TEMP
2023,1046.5,"7,432,121",12275,10445,63.3,43.6,--
2022,1051.12,"7,780,108",10990,12073,80.7,60.4,--
2021,1074.01,"9,532,500",11902,12625,81.6,61.5,--
2020,1088.78,"10,758,113",12118,12069,82.2,61.1,--
2019,1085.46,"10,469,995",12363,11789,80.1,59.7,--
2018,1081.57,"10,144,058",12444,12592,81.9,60.3,--
2017,1083.06,"10,267,537",12081,12075,80.6,57.7,--
2016,1077.22,"9,784,790",12709,12775,80.4,57.3,--
2015,1080.68,"10,071,257",12165,12976,79.7,57.5,--
2014,1090.76,"10,940,605",11075,13049,81,57.6,--
2013,1110.9,"12,705,639",12055,12848,79,55.4,--
2012,1121.91,"13,798,396",12538,12929,81,57.1,--
2011,1106.12,"12,077,029",20397,12716,79,54.2,--
2010,1091.56,"10,759,249",11229,13042,79,55.4,--
2009,1099.72,"11,489,247",12930,13003,80.4,55.4,59.3
2008,1109.64,"12,464,762",13487,13130,80.9,56.3,68.5
2007,1118,"13,137,092",12132,13186,83.1,58.6,68.2
2006,1131.66,"14,530,987",12532,12790,80.4,56.3,69
2005,1139.87,"15,381,733",12925,11431,79.5,57.4,--
2004,1131.76,"14,541,211",12727,12872,79.1,57.5,--
2003,1145.93,"16,037,336",12426,12958,80.8,58.3,--
2002,1163.17,"18,037,362",11673,14423,n/a,n/a,--
2001,1185.78,"20,935,774",12139,14080,n/a,n/a,--
2000,1204.22,"23,549,259",12778,14726,n/a,n/a,--
1999,1210.41,"24,459,931",17531,15240,n/a,n/a,--
1998,1213.71,"24,962,488",18126,17647,n/a,n/a,--
1997,1202.93,"23,353,750",22056,16146,n/a,n/a,--
1996,1191.98,"21,773,677",15740,13721,n/a,n/a,--
1995,1182.4,"20,465,295",15316,11806,n/a,n/a,--
1994,1182.18,"20,440,385",11824,12921,n/a,n/a,--
1993,1188.59,"21,305,262",13038,10277,n/a,n/a,--
1992,1176.39,"19,669,765",12344,10782,n/a,n/a,--
1991,1175.43,"19,546,578",12722,12369,n/a,n/a,--
1990,1183.69,"20,642,485",11878,12713,n/a,n/a,--
1989,1193.87,"22,046,641",11312,12659,n/a,n/a,--
1988,1204.56,"23,590,757",10840,12984,n/a,n/a,--
1987,1208.84,"24,222,482",15990,15661,n/a,n/a,--
1986,1206.58,"23,885,504",25761,24238,n/a,n/a,--
