STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot
AL,01,Autauga County,001,01001,2015,55.347,3.36,0.16,3.52,--,3.52,2.26,0.00,0.00,2.26,3.36,0.00,3.36,3.36,2.16,0.00,0.00,2.16
AL,01,Baldwin County,003,01003,2015,203.709,47.17,11.11,58.28,--,58.28,20.66,0.00,0.00,20.66,47.17,6.78,53.95,53.95,18.52,0.00,0.00,18.52
AL,01,Barbour County,005,01005,2015,26.489,0.57,2.39,2.96,--,2.96,4.53,0.00,0.00,4.53,0.57,1.92,2.49,2.49,4.23,0.00,0.00,4.23
AL,01,Bibb County,007,01007,2015,22.583,0.03,0.16,0.19,--,0.19,0.16,0.00,0.00,0.16,0.03,0.00,0.03,0.03,0.06,0.00,0.00,0.06
AL,01,Blount County,009,01009,2015,57.673,0.20,0.88,1.08,--,1.08,0.94,0.00,0.00,0.94,0.20,0.15,0.35,0.35,0.53,0.00,0.00,0.53
AL,01,Bullock County,011,01011,2015,10.696,0.92,1.08,2.00,--,2.00,1.67,0.00,0.00,1.67,0.92,0.92,1.84,1.84,1.61,0.00,0.00,1.61
AL,01,Butler County,013,01013,2015,20.154,0.01,0.98,0.99,--,0.99,0.30,0.00,0.00,0.30,0.01,0.00,0.01,0.01,0.02,0.00,0.00,0.02
AL,01,Calhoun County,015,01015,2015,115.620,0.00,3.15,3.15,--,3.15,1.92,0.00,0.00,1.92,0.00,1.39,1.39,1.39,1.14,0.00,0.00,1.14
AL,01,Chambers County,017,01017,2015,34.123,0.07,0.16,0.23,--,0.23,0.18,0.00,0.00,0.18,0.07,0.00,0.07,0.07,0.12,0.00,0.00,0.12
AL,01,Cherokee County,019,01019,2015,25.859,0.00,2.82,2.82,--,2.82,1.87,0.00,0.00,1.87,0.00,2.66,2.66,2.66,1.77,0.00,0.00,1.77
